time,node,10.1.1.1/24-10.1.5.2,10.1.1.1/24-10.1.6.2,10.1.1.1/24-10.1.7.1,10.1.1.2/24-10.1.5.2,10.1.1.2/24-10.1.6.2,10.1.1.2/24-10.1.7.1,10.1.2.1/24-10.1.5.2,10.1.2.1/24-10.1.6.2,10.1.2.1/24-10.1.7.1,10.1.2.2/24-10.1.5.2,10.1.2.2/24-10.1.6.2,10.1.2.2/24-10.1.7.1,10.1.3.1/24-10.1.5.2,10.1.3.1/24-10.1.6.2,10.1.3.1/24-10.1.7.1,10.1.3.2/24-10.1.5.2,10.1.3.2/24-10.1.6.2,10.1.3.2/24-10.1.7.1,10.1.4.1/24-10.1.5.2,10.1.4.1/24-10.1.6.2,10.1.4.1/24-10.1.7.1,10.1.4.2/24-10.1.5.2,10.1.4.2/24-10.1.6.2,10.1.4.2/24-10.1.7.1,10.1.5.1/24-10.1.5.2,10.1.5.1/24-10.1.6.2,10.1.5.1/24-10.1.7.1,10.1.6.1/24-10.1.5.2,10.1.6.1/24-10.1.6.2,10.1.6.1/24-10.1.7.1,10.1.7.2/24-10.1.5.2,10.1.7.2/24-10.1.6.2,10.1.7.2/24-10.1.7.1,10.1.9.1/24-10.1.5.2,10.1.9.1/24-10.1.6.2,10.1.9.1/24-10.1.7.1,10.1.9.2/24-10.1.5.2,10.1.9.2/24-10.1.6.2,10.1.9.2/24-10.1.7.1
0.2,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
0.4,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.00116362,0.00116362,0.997673,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
0.6,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.00116362,0.00116362,0.997673,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
0.8,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,9.87354e-07,9.87354e-07,0.999998,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,3.4467e-09,3.4467e-09,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.2,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,3.4467e-09,3.4467e-09,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.4,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,2.9246e-12,2.9246e-12,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.6,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.02093e-14,1.02093e-14,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
1.8,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.02093e-14,1.02093e-14,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,3.56392e-17,3.56392e-17,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.2,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.24411e-19,1.24411e-19,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.4,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.24411e-19,1.24411e-19,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
2.6,4,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,1.05566e-22,1.05566e-22,1,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333
