time,node,10.1.1.1/24-10.1.7.2,10.1.1.2/24-10.1.7.2,10.1.2.1/24-10.1.7.2,10.1.2.2/24-10.1.7.2,10.1.3.1/24-10.1.7.2,10.1.3.2/24-10.1.7.2,10.1.4.1/24-10.1.7.2,10.1.4.2/24-10.1.7.2,10.1.5.1/24-10.1.7.2,10.1.5.2/24-10.1.7.2,10.1.6.1/24-10.1.7.2,10.1.6.2/24-10.1.7.2,10.1.7.1/24-10.1.7.2,10.1.9.1/24-10.1.7.2,10.1.9.2/24-10.1.7.2
0.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
